Variable,Description,Data Source,Response Level,N (%)
LOCALITIES,"Cities, Towns, Villages, and Localities associated with the FSA",2016 Canadian Census,Le Vieux-Nord,1 (0.1)
LOCALITIES,"Cities, Towns, Villages, and Localities associated with the FSA",2016 Canadian Census,"Le Vieux-Poste, Mingan",1 (0.1)
LOCALITIES,"Cities, Towns, Villages, and Localities associated with the FSA",2016 Canadian Census,Lethbridge,3 (0.4)
LOCALITIES,"Cities, Towns, Villages, and Localities associated with the FSA",2016 Canadian Census,"Lisgar, Meadowvale South, Meadowvale West, Riverview, Streetsville Junction",1 (0.1)
LOCALITIES,"Cities, Towns, Villages, and Localities associated with the FSA",2016 Canadian Census,"London, Southdale",1 (0.1)
LOCALITIES,"Cities, Towns, Villages, and Localities associated with the FSA",2016 Canadian Census,"Lynnmour, Lynn Valley, West Lynn",1 (0.1)
LOCALITIES,"Cities, Towns, Villages, and Localities associated with the FSA",2016 Canadian Census,"Martindale Heights, Power Glen, Ridley Heights, Western Hill",1 (0.1)
LOCALITIES,"Cities, Towns, Villages, and Localities associated with the FSA",2016 Canadian Census,"McCulloch, Myra",1 (0.1)
LOCALITIES,"Cities, Towns, Villages, and Localities associated with the FSA",2016 Canadian Census,"Mimico, Mimico Beach, New Toronto",3 (0.4)
LOCALITIES,"Cities, Towns, Villages, and Localities associated with the FSA",2016 Canadian Census,Moncton,1 (0.1)
LOCALITIES,"Cities, Towns, Villages, and Localities associated with the FSA",2016 Canadian Census,"Montcalm, Saint-Sacrement",1 (0.1)
LOCALITIES,"Cities, Towns, Villages, and Localities associated with the FSA",2016 Canadian Census,"Monterey Park, Temple, Whitehorn",2 (0.2)
LOCALITIES,"Cities, Towns, Villages, and Localities associated with the FSA",2016 Canadian Census,"Montr<e9>al-Nord, North",2 (0.2)
LOCALITIES,"Cities, Towns, Villages, and Localities associated with the FSA",2016 Canadian Census,MontrÈal-Nord,1 (0.1)
LOCALITIES,"Cities, Towns, Villages, and Localities associated with the FSA",2016 Canadian Census,Moore Park,1 (0.1)
LOCALITIES,"Cities, Towns, Villages, and Localities associated with the FSA",2016 Canadian Census,Mount Pleasant,4 (0.5)
LOCALITIES,"Cities, Towns, Villages, and Localities associated with the FSA",2016 Canadian Census,"Nanaimo, Northwest",1 (0.1)
LOCALITIES,"Cities, Towns, Villages, and Localities associated with the FSA",2016 Canadian Census,"Norgate, Pemberton Heights",2 (0.2)
LOCALITIES,"Cities, Towns, Villages, and Localities associated with the FSA",2016 Canadian Census,North Vancouver,2 (0.2)
LOCALITIES,"Cities, Towns, Villages, and Localities associated with the FSA",2016 Canadian Census,"North York, Glencairn",2 (0.2)
LOCALITIES,"Cities, Towns, Villages, and Localities associated with the FSA",2016 Canadian Census,"North York, Victoria Village",1 (0.1)
LOCALITIES,"Cities, Towns, Villages, and Localities associated with the FSA",2016 Canadian Census,"Notre-Dame-de-Grace, Northeast",3 (0.4)
LOCALITIES,"Cities, Towns, Villages, and Localities associated with the FSA",2016 Canadian Census,Oak Bay,2 (0.2)
LOCALITIES,"Cities, Towns, Villages, and Localities associated with the FSA",2016 Canadian Census,"Oakridge Acres, Oakridge Park, Oxford Park",1 (0.1)
LOCALITIES,"Cities, Towns, Villages, and Localities associated with the FSA",2016 Canadian Census,"Ogden, Riverbend, Sarcee Junction",2 (0.2)
LOCALITIES,"Cities, Towns, Villages, and Localities associated with the FSA",2016 Canadian Census,"Osborne Village, Riverview, Roslyn",1 (0.1)
LOCALITIES,"Cities, Towns, Villages, and Localities associated with the FSA",2016 Canadian Census,"Ottawa East, Ottawa South, Rideau Gardens, The Glebe",2 (0.2)
LOCALITIES,"Cities, Towns, Villages, and Localities associated with the FSA",2016 Canadian Census,"Ottawa, Downtown",3 (0.4)
LOCALITIES,"Cities, Towns, Villages, and Localities associated with the FSA",2016 Canadian Census,"Parc Colbert, Sainte-Foy",2 (0.2)
LOCALITIES,"Cities, Towns, Villages, and Localities associated with the FSA",2016 Canadian Census,Parkdale,4 (0.5)
LOCALITIES,"Cities, Towns, Villages, and Localities associated with the FSA",2016 Canadian Census,"Parkview Hill, Woodbine Gardens",2 (0.2)
LOCALITIES,"Cities, Towns, Villages, and Localities associated with the FSA",2016 Canadian Census,"Parkway East, Parkway West, Victoria Village, York Height",1 (0.1)
LOCALITIES,"Cities, Towns, Villages, and Localities associated with the FSA",2016 Canadian Census,Peel Village,1 (0.1)
LOCALITIES,"Cities, Towns, Villages, and Localities associated with the FSA",2016 Canadian Census,Petite-Bourgogne,1 (0.1)
LOCALITIES,"Cities, Towns, Villages, and Localities associated with the FSA",2016 Canadian Census,"Petite-Patrie, Northeast",1 (0.1)
LOCALITIES,"Cities, Towns, Villages, and Localities associated with the FSA",2016 Canadian Census,"Pine Grove, Woodbridge",1 (0.1)
LOCALITIES,"Cities, Towns, Villages, and Localities associated with the FSA",2016 Canadian Census,Place Bonaventure,1 (0.1)
LOCALITIES,"Cities, Towns, Villages, and Localities associated with the FSA",2016 Canadian Census,"Plateau Mont-Royal, West",1 (0.1)
LOCALITIES,"Cities, Towns, Villages, and Localities associated with the FSA",2016 Canadian Census,Pointe-du-Marigot,1 (0.1)
LOCALITIES,"Cities, Towns, Villages, and Localities associated with the FSA",2016 Canadian Census,Pointe-Saint-Charles,1 (0.1)
LOCALITIES,"Cities, Towns, Villages, and Localities associated with the FSA",2016 Canadian Census,Pont-Viau,1 (0.1)
LOCALITIES,"Cities, Towns, Villages, and Localities associated with the FSA",2016 Canadian Census,"Portobello, Port Wallace, Tam O'Shanter Ridge, Westphal",2 (0.2)
LOCALITIES,"Cities, Towns, Villages, and Localities associated with the FSA",2016 Canadian Census,"QuÈbec, Saint-Jean-Baptiste, Vieux-QuÈbec",1 (0.1)
LOCALITIES,"Cities, Towns, Villages, and Localities associated with the FSA",2016 Canadian Census,Remington Park,7 (0.9)
LOCALITIES,"Cities, Towns, Villages, and Localities associated with the FSA",2016 Canadian Census,Renfrew-Collingwood,1 (0.1)
LOCALITIES,"Cities, Towns, Villages, and Localities associated with the FSA",2016 Canadian Census,Riley Park,2 (0.2)
LOCALITIES,"Cities, Towns, Villages, and Localities associated with the FSA",2016 Canadian Census,RiviËre-des-Prairies,1 (0.1)
LOCALITIES,"Cities, Towns, Villages, and Localities associated with the FSA",2016 Canadian Census,Rocky View,4 (0.5)
LOCALITIES,"Cities, Towns, Villages, and Localities associated with the FSA",2016 Canadian Census,Rosedale,1 (0.1)
LOCALITIES,"Cities, Towns, Villages, and Localities associated with the FSA",2016 Canadian Census,"Ryckmans, Ryckmans Corners",1 (0.1)
LOCALITIES,"Cities, Towns, Villages, and Localities associated with the FSA",2016 Canadian Census,Saint-Lambert,1 (0.1)
LOCALITIES,"Cities, Towns, Villages, and Localities associated with the FSA",2016 Canadian Census,"Saint-Lambert, South",1 (0.1)
LOCALITIES,"Cities, Towns, Villages, and Localities associated with the FSA",2016 Canadian Census,"Scarborough, Scarborough Village",2 (0.2)
LOCALITIES,"Cities, Towns, Villages, and Localities associated with the FSA",2016 Canadian Census,"Sherwood Park, Wyeclif",1 (0.1)
LOCALITIES,"Cities, Towns, Villages, and Localities associated with the FSA",2016 Canadian Census,"Shops, Whalley",6 (0.7)
LOCALITIES,"Cities, Towns, Villages, and Localities associated with the FSA",2016 Canadian Census,"Silver Valley, Websters Corners",1 (0.1)
LOCALITIES,"Cities, Towns, Villages, and Localities associated with the FSA",2016 Canadian Census,Six Points,1 (0.1)
LOCALITIES,"Cities, Towns, Villages, and Localities associated with the FSA",2016 Canadian Census,"Southarm, Steveston",1 (0.1)
LOCALITIES,"Cities, Towns, Villages, and Localities associated with the FSA",2016 Canadian Census,Speedwell,1 (0.1)
LOCALITIES,"Cities, Towns, Villages, and Localities associated with the FSA",2016 Canadian Census,Still Creek,3 (0.4)
LOCALITIES,"Cities, Towns, Villages, and Localities associated with the FSA",2016 Canadian Census,Strathcona,1 (0.1)
LOCALITIES,"Cities, Towns, Villages, and Localities associated with the FSA",2016 Canadian Census,"Streetsville, Vista Heights",1 (0.1)
LOCALITIES,"Cities, Towns, Villages, and Localities associated with the FSA",2016 Canadian Census,Sun Valley,1 (0.1)
LOCALITIES,"Cities, Towns, Villages, and Localities associated with the FSA",2016 Canadian Census,Sunnyside,2 (0.2)
LOCALITIES,"Cities, Towns, Villages, and Localities associated with the FSA",2016 Canadian Census,The Junction,1 (0.1)
LOCALITIES,"Cities, Towns, Villages, and Localities associated with the FSA",2016 Canadian Census,Toronto,1 (0.1)
LOCALITIES,"Cities, Towns, Villages, and Localities associated with the FSA",2016 Canadian Census,Underwood,1 (0.1)
LOCALITIES,"Cities, Towns, Villages, and Localities associated with the FSA",2016 Canadian Census,University Hill,1 (0.1)
LOCALITIES,"Cities, Towns, Villages, and Localities associated with the FSA",2016 Canadian Census,"Val-BÈlair, Val-Saint-Michel",1 (0.1)
LOCALITIES,"Cities, Towns, Villages, and Localities associated with the FSA",2016 Canadian Census,Vancouver,1 (0.1)
LOCALITIES,"Cities, Towns, Villages, and Localities associated with the FSA",2016 Canadian Census,"Vancouver, NW West End, Stanley Park",3 (0.4)
LOCALITIES,"Cities, Towns, Villages, and Localities associated with the FSA",2016 Canadian Census,"Vancouver, SW Downtown",1 (0.1)
LOCALITIES,"Cities, Towns, Villages, and Localities associated with the FSA",2016 Canadian Census,"Vancouver, Waterfront, Coal Harbour, Canada Place)",2 (0.2)
LOCALITIES,"Cities, Towns, Villages, and Localities associated with the FSA",2016 Canadian Census,Victoria,1 (0.1)
LOCALITIES,"Cities, Towns, Villages, and Localities associated with the FSA",2016 Canadian Census,"Victoria, North Oak Bay, North Fernwood, North Jubilee, South Jubilee, East Oaklands",2 (0.2)
LOCALITIES,"Cities, Towns, Villages, and Localities associated with the FSA",2016 Canadian Census,"Victoria, SE Burnside, Hillside-Quadra, North Park, West Oaklands, Rock Bay)",3 (0.4)
LOCALITIES,"Cities, Towns, Villages, and Localities associated with the FSA",2016 Canadian Census,Ville-Marie,2 (0.2)
LOCALITIES,"Cities, Towns, Villages, and Localities associated with the FSA",2016 Canadian Census,Ville Emard,3 (0.4)
LOCALITIES,"Cities, Towns, Villages, and Localities associated with the FSA",2016 Canadian Census,"Villeray, Northeast",1 (0.1)
LOCALITIES,"Cities, Towns, Villages, and Localities associated with the FSA",2016 Canadian Census,"Waterloo, Southeast",1 (0.1)
LOCALITIES,"Cities, Towns, Villages, and Localities associated with the FSA",2016 Canadian Census,Wellington,2 (0.2)
LOCALITIES,"Cities, Towns, Villages, and Localities associated with the FSA",2016 Canadian Census,West Fort William,1 (0.1)
LOCALITIES,"Cities, Towns, Villages, and Localities associated with the FSA",2016 Canadian Census,West Park,1 (0.1)
LOCALITIES,"Cities, Towns, Villages, and Localities associated with the FSA",2016 Canadian Census,West Point Grey,1 (0.1)
LOCALITIES,"Cities, Towns, Villages, and Localities associated with the FSA",2016 Canadian Census,"West Toronto, Dufferin, Dovercourt Village",5 (0.6)
LOCALITIES,"Cities, Towns, Villages, and Localities associated with the FSA",2016 Canadian Census,"West Toronto, Little Portugal, Trinity",3 (0.4)
LOCALITIES,"Cities, Towns, Villages, and Localities associated with the FSA",2016 Canadian Census,Westmount,1 (0.1)
LOCALITIES,"Cities, Towns, Villages, and Localities associated with the FSA",2016 Canadian Census,Westridge,2 (0.2)
LOCALITIES,"Cities, Towns, Villages, and Localities associated with the FSA",2016 Canadian Census,"Whitby, Southwest",1 (0.1)
LOCALITIES,"Cities, Towns, Villages, and Localities associated with the FSA",2016 Canadian Census,"Windsor, City Centre, NW Walkerville",2 (0.2)
LOCALITIES,"Cities, Towns, Villages, and Localities associated with the FSA",2016 Canadian Census,Woodwards Landing,2 (0.2)
AREA,Land Area of FSA,2016 Canadian Census,,7209.80 (72727.73)
POP_2016_NUM,Number of residents,2016 Canadian Census,,31236.82 (19312.35)
POP_DENS_SQ_KM,Persons per square kilometre,2016 Canadian Census,,3165.45 (5288.96)
GENDER_MALE_PER,% of residents that are male,2016 Canadian Census,,0.49 (0.02)
AGE_AVG,Mean age of residents,2016 Canadian Census,,41.34 (3.37)
AGE_MED,Median age of residents,2016 Canadian Census,,41.32 (5.39)
SINGLE_DETACHED_HOUSES_PER,% of dwellings that are single detatched houses,2016 Canadian Census,,0.44 (0.29)
HOUSEHOLD_SIZE_AVG,Mean number of residents per dwelling,2016 Canadian Census,,2.30 (0.41)
DWELLING_OWNERSHIP_PER,% of households owened,2016 Canadian Census,,0.61 (0.19)
DWELLING_ROOMS_AVG,Mean number of rooms per dwelling,2016 Canadian Census,,5.76 (1.24)
UNSUITABLE_HOUSING_PER,% of dwellings that were unsuitable for residents,2016 Canadian Census,,0.06 (0.04)
REPAIRS_NEEDED_PER,% of dwellings in need of major repairs,2016 Canadian Census,,0.07 (0.03)
SPENDING_GT_30PER_PER,% of residents who spent more than 30% of their income on shelter costs,2016 Canadian Census,,0.27 (0.09)
MAR_STATUS_MARORCL_PER,% of residents that are married,2016 Canadian Census,,0.55 (0.09)
MARRIED_TO_COMMON_LAW_RAT,Ratio of married to common law couples,2016 Canadian Census,0.5,1 (0.1)
MARRIED_TO_COMMON_LAW_RAT,Ratio of married to common law couples,2016 Canadian Census,0.57002271,4 (0.5)
MARRIED_TO_COMMON_LAW_RAT,Ratio of married to common law couples,2016 Canadian Census,0.618266979,1 (0.1)
MARRIED_TO_COMMON_LAW_RAT,Ratio of married to common law couples,2016 Canadian Census,0.622719735,1 (0.1)
MARRIED_TO_COMMON_LAW_RAT,Ratio of married to common law couples,2016 Canadian Census,0.656,1 (0.1)
MARRIED_TO_COMMON_LAW_RAT,Ratio of married to common law couples,2016 Canadian Census,0.685146444,1 (0.1)
MARRIED_TO_COMMON_LAW_RAT,Ratio of married to common law couples,2016 Canadian Census,0.766761095,3 (0.4)
MARRIED_TO_COMMON_LAW_RAT,Ratio of married to common law couples,2016 Canadian Census,0.768306011,1 (0.1)
MARRIED_TO_COMMON_LAW_RAT,Ratio of married to common law couples,2016 Canadian Census,0.785472973,2 (0.2)
MARRIED_TO_COMMON_LAW_RAT,Ratio of married to common law couples,2016 Canadian Census,0.78742515,1 (0.1)
MARRIED_TO_COMMON_LAW_RAT,Ratio of married to common law couples,2016 Canadian Census,0.845884413,1 (0.1)
MARRIED_TO_COMMON_LAW_RAT,Ratio of married to common law couples,2016 Canadian Census,0.896825397,1 (0.1)
MARRIED_TO_COMMON_LAW_RAT,Ratio of married to common law couples,2016 Canadian Census,0.921237693,1 (0.1)
MARRIED_TO_COMMON_LAW_RAT,Ratio of married to common law couples,2016 Canadian Census,0.961756374,1 (0.1)
MARRIED_TO_COMMON_LAW_RAT,Ratio of married to common law couples,2016 Canadian Census,0.995540691,1 (0.1)
MARRIED_TO_COMMON_LAW_RAT,Ratio of married to common law couples,2016 Canadian Census,1.00174216,1 (0.1)
MARRIED_TO_COMMON_LAW_RAT,Ratio of married to common law couples,2016 Canadian Census,1.003099814,2 (0.2)
MARRIED_TO_COMMON_LAW_RAT,Ratio of married to common law couples,2016 Canadian Census,1.003353454,1 (0.1)
MARRIED_TO_COMMON_LAW_RAT,Ratio of married to common law couples,2016 Canadian Census,1.014821273,1 (0.1)
MARRIED_TO_COMMON_LAW_RAT,Ratio of married to common law couples,2016 Canadian Census,1.031217482,1 (0.1)
MARRIED_TO_COMMON_LAW_RAT,Ratio of married to common law couples,2016 Canadian Census,1.053579369,1 (0.1)
MARRIED_TO_COMMON_LAW_RAT,Ratio of married to common law couples,2016 Canadian Census,1.054910243,2 (0.2)
MARRIED_TO_COMMON_LAW_RAT,Ratio of married to common law couples,2016 Canadian Census,1.059701493,3 (0.4)
MARRIED_TO_COMMON_LAW_RAT,Ratio of married to common law couples,2016 Canadian Census,1.077220077,1 (0.1)
MARRIED_TO_COMMON_LAW_RAT,Ratio of married to common law couples,2016 Canadian Census,1.084158416,1 (0.1)
MARRIED_TO_COMMON_LAW_RAT,Ratio of married to common law couples,2016 Canadian Census,1.084615385,2 (0.2)
MARRIED_TO_COMMON_LAW_RAT,Ratio of married to common law couples,2016 Canadian Census,1.089788732,1 (0.1)
MARRIED_TO_COMMON_LAW_RAT,Ratio of married to common law couples,2016 Canadian Census,1.093700787,2 (0.2)
MARRIED_TO_COMMON_LAW_RAT,Ratio of married to common law couples,2016 Canadian Census,1.132075472,2 (0.2)
MARRIED_TO_COMMON_LAW_RAT,Ratio of married to common law couples,2016 Canadian Census,1.146311971,1 (0.1)
MARRIED_TO_COMMON_LAW_RAT,Ratio of married to common law couples,2016 Canadian Census,1.149152542,1 (0.1)
MARRIED_TO_COMMON_LAW_RAT,Ratio of married to common law couples,2016 Canadian Census,1.189081225,1 (0.1)
MARRIED_TO_COMMON_LAW_RAT,Ratio of married to common law couples,2016 Canadian Census,1.19525802,1 (0.1)
MARRIED_TO_COMMON_LAW_RAT,Ratio of married to common law couples,2016 Canadian Census,1.195975232,1 (0.1)
MARRIED_TO_COMMON_LAW_RAT,Ratio of married to common law couples,2016 Canadian Census,1.211678832,1 (0.1)
MARRIED_TO_COMMON_LAW_RAT,Ratio of married to common law couples,2016 Canadian Census,1.237099024,1 (0.1)
MARRIED_TO_COMMON_LAW_RAT,Ratio of married to common law couples,2016 Canadian Census,1.249530957,1 (0.1)
MARRIED_TO_COMMON_LAW_RAT,Ratio of married to common law couples,2016 Canadian Census,1.253446448,1 (0.1)
MARRIED_TO_COMMON_LAW_RAT,Ratio of married to common law couples,2016 Canadian Census,1.2672,1 (0.1)
MARRIED_TO_COMMON_LAW_RAT,Ratio of married to common law couples,2016 Canadian Census,1.268770403,1 (0.1)
MARRIED_TO_COMMON_LAW_RAT,Ratio of married to common law couples,2016 Canadian Census,1.273291925,1 (0.1)
MARRIED_TO_COMMON_LAW_RAT,Ratio of married to common law couples,2016 Canadian Census,1.278516058,1 (0.1)
MARRIED_TO_COMMON_LAW_RAT,Ratio of married to common law couples,2016 Canadian Census,1.31377551,2 (0.2)
MARRIED_TO_COMMON_LAW_RAT,Ratio of married to common law couples,2016 Canadian Census,1.319711538,2 (0.2)
MARRIED_TO_COMMON_LAW_RAT,Ratio of married to common law couples,2016 Canadian Census,1.321008403,1 (0.1)
MARRIED_TO_COMMON_LAW_RAT,Ratio of married to common law couples,2016 Canadian Census,1.338317757,2 (0.2)
MARRIED_TO_COMMON_LAW_RAT,Ratio of married to common law couples,2016 Canadian Census,1.34589502,1 (0.1)
MARRIED_TO_COMMON_LAW_RAT,Ratio of married to common law couples,2016 Canadian Census,1.3540213,1 (0.1)
MARRIED_TO_COMMON_LAW_RAT,Ratio of married to common law couples,2016 Canadian Census,1.367088608,1 (0.1)
MARRIED_TO_COMMON_LAW_RAT,Ratio of married to common law couples,2016 Canadian Census,1.375735294,1 (0.1)
MARRIED_TO_COMMON_LAW_RAT,Ratio of married to common law couples,2016 Canadian Census,1.379943503,1 (0.1)
MARRIED_TO_COMMON_LAW_RAT,Ratio of married to common law couples,2016 Canadian Census,1.386853448,1 (0.1)
MARRIED_TO_COMMON_LAW_RAT,Ratio of married to common law couples,2016 Canadian Census,1.387614679,1 (0.1)
MARRIED_TO_COMMON_LAW_RAT,Ratio of married to common law couples,2016 Canadian Census,1.387978142,1 (0.1)
MARRIED_TO_COMMON_LAW_RAT,Ratio of married to common law couples,2016 Canadian Census,1.391084093,1 (0.1)
MARRIED_TO_COMMON_LAW_RAT,Ratio of married to common law couples,2016 Canadian Census,1.396903015,1 (0.1)
MARRIED_TO_COMMON_LAW_RAT,Ratio of married to common law couples,2016 Canadian Census,1.403284672,1 (0.1)
MARRIED_TO_COMMON_LAW_RAT,Ratio of married to common law couples,2016 Canadian Census,1.403389831,2 (0.2)
MARRIED_TO_COMMON_LAW_RAT,Ratio of married to common law couples,2016 Canadian Census,1.407488987,1 (0.1)
MARRIED_TO_COMMON_LAW_RAT,Ratio of married to common law couples,2016 Canadian Census,1.414201183,1 (0.1)
MARRIED_TO_COMMON_LAW_RAT,Ratio of married to common law couples,2016 Canadian Census,1.425567704,1 (0.1)
MARRIED_TO_COMMON_LAW_RAT,Ratio of married to common law couples,2016 Canadian Census,1.430441899,1 (0.1)
MARRIED_TO_COMMON_LAW_RAT,Ratio of married to common law couples,2016 Canadian Census,1.432919955,3 (0.4)
MARRIED_TO_COMMON_LAW_RAT,Ratio of married to common law couples,2016 Canadian Census,1.445747801,1 (0.1)
MARRIED_TO_COMMON_LAW_RAT,Ratio of married to common law couples,2016 Canadian Census,1.461675579,2 (0.2)
MARRIED_TO_COMMON_LAW_RAT,Ratio of married to common law couples,2016 Canadian Census,1.464864865,1 (0.1)
MARRIED_TO_COMMON_LAW_RAT,Ratio of married to common law couples,2016 Canadian Census,1.481074481,4 (0.5)
MARRIED_TO_COMMON_LAW_RAT,Ratio of married to common law couples,2016 Canadian Census,1.484162896,20 (2.5)
MARRIED_TO_COMMON_LAW_RAT,Ratio of married to common law couples,2016 Canadian Census,1.489655172,1 (0.1)
MARRIED_TO_COMMON_LAW_RAT,Ratio of married to common law couples,2016 Canadian Census,1.5,3 (0.4)
MARRIED_TO_COMMON_LAW_RAT,Ratio of married to common law couples,2016 Canadian Census,1.509966777,1 (0.1)
MARRIED_TO_COMMON_LAW_RAT,Ratio of married to common law couples,2016 Canadian Census,1.551724138,1 (0.1)
MARRIED_TO_COMMON_LAW_RAT,Ratio of married to common law couples,2016 Canadian Census,1.561971831,2 (0.2)
MARRIED_TO_COMMON_LAW_RAT,Ratio of married to common law couples,2016 Canadian Census,1.566666667,7 (0.9)
MARRIED_TO_COMMON_LAW_RAT,Ratio of married to common law couples,2016 Canadian Census,1.594017094,1 (0.1)
MARRIED_TO_COMMON_LAW_RAT,Ratio of married to common law couples,2016 Canadian Census,1.618629174,1 (0.1)
MARRIED_TO_COMMON_LAW_RAT,Ratio of married to common law couples,2016 Canadian Census,1.621659634,1 (0.1)
MARRIED_TO_COMMON_LAW_RAT,Ratio of married to common law couples,2016 Canadian Census,1.648018648,2 (0.2)
MARRIED_TO_COMMON_LAW_RAT,Ratio of married to common law couples,2016 Canadian Census,1.648624667,2 (0.2)
MARRIED_TO_COMMON_LAW_RAT,Ratio of married to common law couples,2016 Canadian Census,1.667919799,1 (0.1)
MARRIED_TO_COMMON_LAW_RAT,Ratio of married to common law couples,2016 Canadian Census,1.697674419,3 (0.4)
MARRIED_TO_COMMON_LAW_RAT,Ratio of married to common law couples,2016 Canadian Census,1.698237885,3 (0.4)
MARRIED_TO_COMMON_LAW_RAT,Ratio of married to common law couples,2016 Canadian Census,1.71563981,2 (0.2)
MARRIED_TO_COMMON_LAW_RAT,Ratio of married to common law couples,2016 Canadian Census,1.729885057,1 (0.1)
MARRIED_TO_COMMON_LAW_RAT,Ratio of married to common law couples,2016 Canadian Census,1.739663093,1 (0.1)
MARRIED_TO_COMMON_LAW_RAT,Ratio of married to common law couples,2016 Canadian Census,1.753715499,1 (0.1)
MARRIED_TO_COMMON_LAW_RAT,Ratio of married to common law couples,2016 Canadian Census,1.754045307,1 (0.1)
MARRIED_TO_COMMON_LAW_RAT,Ratio of married to common law couples,2016 Canadian Census,1.7584,1 (0.1)
MARRIED_TO_COMMON_LAW_RAT,Ratio of married to common law couples,2016 Canadian Census,1.760660248,2 (0.2)
MARRIED_TO_COMMON_LAW_RAT,Ratio of married to common law couples,2016 Canadian Census,1.769797422,2 (0.2)
MARRIED_TO_COMMON_LAW_RAT,Ratio of married to common law couples,2016 Canadian Census,1.777147488,1 (0.1)
MARRIED_TO_COMMON_LAW_RAT,Ratio of married to common law couples,2016 Canadian Census,1.8,1 (0.1)
MARRIED_TO_COMMON_LAW_RAT,Ratio of married to common law couples,2016 Canadian Census,1.862745098,3 (0.4)
MARRIED_TO_COMMON_LAW_RAT,Ratio of married to common law couples,2016 Canadian Census,1.887869521,6 (0.7)
MARRIED_TO_COMMON_LAW_RAT,Ratio of married to common law couples,2016 Canadian Census,1.891472868,3 (0.4)
MARRIED_TO_COMMON_LAW_RAT,Ratio of married to common law couples,2016 Canadian Census,1.896624473,1 (0.1)
MARRIED_TO_COMMON_LAW_RAT,Ratio of married to common law couples,2016 Canadian Census,1.927956989,2 (0.2)
MARRIED_TO_COMMON_LAW_RAT,Ratio of married to common law couples,2016 Canadian Census,1.948087432,3 (0.4)
MARRIED_TO_COMMON_LAW_RAT,Ratio of married to common law couples,2016 Canadian Census,1.957446809,1 (0.1)
MARRIED_TO_COMMON_LAW_RAT,Ratio of married to common law couples,2016 Canadian Census,1.977477477,1 (0.1)
MARRIED_TO_COMMON_LAW_RAT,Ratio of married to common law couples,2016 Canadian Census,1.986842105,1 (0.1)
MARRIED_TO_COMMON_LAW_RAT,Ratio of married to common law couples,2016 Canadian Census,10.02671756,2 (0.2)
MARRIED_TO_COMMON_LAW_RAT,Ratio of married to common law couples,2016 Canadian Census,10.11946903,1 (0.1)
MARRIED_TO_COMMON_LAW_RAT,Ratio of married to common law couples,2016 Canadian Census,10.1875,1 (0.1)
MARRIED_TO_COMMON_LAW_RAT,Ratio of married to common law couples,2016 Canadian Census,10.5041816,1 (0.1)
MARRIED_TO_COMMON_LAW_RAT,Ratio of married to common law couples,2016 Canadian Census,10.57976654,1 (0.1)
MARRIED_TO_COMMON_LAW_RAT,Ratio of married to common law couples,2016 Canadian Census,10.89015692,1 (0.1)
MARRIED_TO_COMMON_LAW_RAT,Ratio of married to common law couples,2016 Canadian Census,11.18981481,1 (0.1)
MARRIED_TO_COMMON_LAW_RAT,Ratio of married to common law couples,2016 Canadian Census,11.2746114,1 (0.1)
MARRIED_TO_COMMON_LAW_RAT,Ratio of married to common law couples,2016 Canadian Census,11.33170732,1 (0.1)
MARRIED_TO_COMMON_LAW_RAT,Ratio of married to common law couples,2016 Canadian Census,11.37410072,2 (0.2)
MARRIED_TO_COMMON_LAW_RAT,Ratio of married to common law couples,2016 Canadian Census,11.60655738,1 (0.1)
MARRIED_TO_COMMON_LAW_RAT,Ratio of married to common law couples,2016 Canadian Census,11.62349398,1 (0.1)
MARRIED_TO_COMMON_LAW_RAT,Ratio of married to common law couples,2016 Canadian Census,11.93763441,1 (0.1)
MARRIED_TO_COMMON_LAW_RAT,Ratio of married to common law couples,2016 Canadian Census,12.08641975,1 (0.1)
MARRIED_TO_COMMON_LAW_RAT,Ratio of married to common law couples,2016 Canadian Census,12.25728155,19 (2.3)
MARRIED_TO_COMMON_LAW_RAT,Ratio of married to common law couples,2016 Canadian Census,12.2652439,1 (0.1)
MARRIED_TO_COMMON_LAW_RAT,Ratio of married to common law couples,2016 Canadian Census,12.4626506,2 (0.2)
MARRIED_TO_COMMON_LAW_RAT,Ratio of married to common law couples,2016 Canadian Census,12.60072595,1 (0.1)
MARRIED_TO_COMMON_LAW_RAT,Ratio of married to common law couples,2016 Canadian Census,12.90384615,1 (0.1)
MARRIED_TO_COMMON_LAW_RAT,Ratio of married to common law couples,2016 Canadian Census,13.07117438,1 (0.1)
MARRIED_TO_COMMON_LAW_RAT,Ratio of married to common law couples,2016 Canadian Census,13.07821229,9 (1.1)
MARRIED_TO_COMMON_LAW_RAT,Ratio of married to common law couples,2016 Canadian Census,13.35693215,1 (0.1)
MARRIED_TO_COMMON_LAW_RAT,Ratio of married to common law couples,2016 Canadian Census,13.61413043,2 (0.2)
MARRIED_TO_COMMON_LAW_RAT,Ratio of married to common law couples,2016 Canadian Census,13.73333333,1 (0.1)
MARRIED_TO_COMMON_LAW_RAT,Ratio of married to common law couples,2016 Canadian Census,13.75,1 (0.1)
MARRIED_TO_COMMON_LAW_RAT,Ratio of married to common law couples,2016 Canadian Census,14.36585366,2 (0.2)
MARRIED_TO_COMMON_LAW_RAT,Ratio of married to common law couples,2016 Canadian Census,14.54048583,1 (0.1)
